ID,CATEGORY,NAME/CODE,DESCRIPTION,PRICE,ENABLE VAT,VAT VALUE,WEIGHT,OPTIONS,ENABLE DISCOUNT,AVAILABILITY,PENDING,IMAGES
,Пицца,Пицца по-деревенски,"Тесто (лепешка пшеничная собственного приготовления), ветчина из индейки, сыр моцарелла, огурец маринованный, маслины, красный репчатый лук, соус барбекю, майонез оливковый, зелень (29 см)",497,0,21,500,,0,Unset,,\Пицца\Пиица по деревенски 500 г.JPG
,Пицца,Пицца Ассорти,"Тесто (лепешка пшеничная собственного приготовления), соус барбекю, соус цезарь, бекон копчено-вареный, курица копченая, перец болгарский, сыр моцарелла, зелень (29 см)",497,0,21,500,,0,Unset,,\Пицца\Пицца Ассорти 500 г.JPG
,Пицца,Пицца по-домашнему,"Тесто ( лепешка пшеничная собственного приготовления), ветчина из индейки, сыр моцарелла, огурец свежий, помидор, майонез оливковый, соус барбекю, зелень (29 см)тесто, ветчина. сыр Моцарелла, огурец св., помидор, майонез, с-с барбекю, зелень.
500 гр.",497,0,21,520,,0,Unset,,\Пицца\Пицца по-домашнему 500 г.JPG
,Пицца,Пицца Времена года,"Тесто (лепешка пшеничная собственного приготовления), соус Барбекю, ветчина из индейки, сыр моцарелла, шампиньоны жареные, маслины, томат свежий (29 см)",497,0,21,520,,0,Unset,,\Пицца\Пицца Времена года 500 г.JPG
,Пицца,Пицца с курицей,"Тесто (лепешка пшеничная собственного приготовления), соус барбекю, сметана, майонез, перец болгарский, курица копчёная, огурец маринованный, сыр моцарелла.(29 см)",497,0,21,503,,0,Unset,,\Пицца\Пицца с курицей 450 г.JPG
,Пицца,Пицца Баварская,"Тесто (лепешка пшеничная собственного приготовления), колбаса баварская полукопченая, пепперони сырокопченая, ветчина из индейки, шампиньоны жареные, перец болгарский, соус томатный, горчица дижонская, сыр моцарелла, зелень (29 см)",577,0,21,520,,0,Unset,,\Пицца\Пицца Баварская 550 г.JPG
,Пицца,Пицца трио сыров,"Тесто ( лепешка пшеничная собственного приготовления), соус барбекю, сыр пармезан, сыр моцарелла, сыр фета (29 см)",497,0,21,460,,0,Unset,,\Пицца\Пицца Трио сыров 500 г.JPG
,Пицца,Пицца Пеперони,"Тесто (лепешка пшеничная собственного приготовления), пепперони сырокопчёная, соус барбекю, сыр моцарелла (29 см)",497,0,21,440,,0,Unset,,\Пицца\Пицца Пепероне 450г.JPG
,Пицца,Фокачча с кунжутом,"Тесто (лепешка пшеничная), кунжут жареный, зелень, майонез оливковый, (29 см)",217,0,21,290,,0,Unset,,\Пицца\Фокачча с кунжутом 180 г.JPG
,Пицца,Фокачча с помидором,"Тесто (лепешка пшеничная собственного производства), азербайджанский томат, зелень, соус Цезарь, (29 см)Лепешка пшеничная, помидор, зелень, соус Цезарь.",211,0,21,330,"С моцарелло (100 г),119 |",0,Unset,,\Пицца\Фокачча с помидором 200 г.JPG
